[11-Oct-2017 01:12:40 PRC] PHP Parse error:  syntax error, unexpected ''articlecat'' (T_CONSTANT_ENCAPSED_STRING), expecting variable (T_VARIABLE) in D:\phpStudy\WWW\mifeng\Admin\Lib\Model\ArticlecatModel.class.php on line 9
[11-Oct-2017 01:16:06 PRC] PHP Parse error:  syntax error, unexpected '$articlecat' (T_VARIABLE) in D:\phpStudy\WWW\mifeng\Admin\Lib\Action\ArticlecatAction.class.php on line 18
[11-Oct-2017 01:16:26 PRC] PHP Parse error:  syntax error, unexpected ''articlecat'' (T_CONSTANT_ENCAPSED_STRING), expecting variable (T_VARIABLE) in D:\phpStudy\WWW\mifeng\Admin\Lib\Model\ArticlecatModel.class.php on line 9
[11-Oct-2017 01:17:19 PRC] PHP Parse error:  syntax error, unexpected ''articlecat'' (T_CONSTANT_ENCAPSED_STRING), expecting variable (T_VARIABLE) in D:\phpStudy\WWW\mifeng\Admin\Lib\Model\ArticlecatModel.class.php on line 9
[11-Oct-2017 01:17:26 PRC] PHP Parse error:  syntax error, unexpected ''articlecat'' (T_CONSTANT_ENCAPSED_STRING), expecting variable (T_VARIABLE) in D:\phpStudy\WWW\mifeng\Admin\Lib\Model\ArticlecatModel.class.php on line 9
[11-Oct-2017 01:20:05 Asia/Shanghai] PHP Parse error:  syntax error, unexpected 'protected' (T_PROTECTED) in D:\phpStudy\WWW\mifeng\Common\Functions\common.php on line 27
[11-Oct-2017 01:20:06 Asia/Shanghai] PHP Parse error:  syntax error, unexpected 'protected' (T_PROTECTED) in D:\phpStudy\WWW\mifeng\Common\Functions\common.php on line 27
[11-Oct-2017 23:22:40 PRC] PHP Parse error:  syntax error, unexpected ')', expecting '(' in D:\phpStudy\WWW\mifeng\Cache\Runtime\Admin\Cache\ffda74836f77fd7b39f68eb01fb47883.php on line 23
[11-Oct-2017 23:23:04 PRC] PHP Parse error:  syntax error, unexpected ')', expecting '(' in D:\phpStudy\WWW\mifeng\Cache\Runtime\Admin\Cache\ffda74836f77fd7b39f68eb01fb47883.php on line 23
[11-Oct-2017 23:23:04 PRC] PHP Parse error:  syntax error, unexpected ')', expecting '(' in D:\phpStudy\WWW\mifeng\Cache\Runtime\Admin\Cache\ffda74836f77fd7b39f68eb01fb47883.php on line 23
[11-Oct-2017 23:23:17 PRC] PHP Parse error:  syntax error, unexpected ')', expecting '(' in D:\phpStudy\WWW\mifeng\Cache\Runtime\Admin\Cache\ffda74836f77fd7b39f68eb01fb47883.php on line 23
